Region,Total Adults,Male Adults,Female Adults,Adults Aged 18-24,Adults Aged 25-44,Adults Aged 45-64,Adults Aged 65+,Number of people who accessed Private Emergency Accommodation,Number of people who accessed Supported Temporary Accommodation,Number of people who accessed Temporary Emergency Accommodation,Number of people who accessed Other Accommodation,Number of Families,Number of Adults in Families,Number of Single-Parent families,Number of Dependants in Families,Month,Year,
West,340,196,144,41,192,93,14,214,121,0,5,85,126,44,212,October,2019,
Dublin,4509,2636,1873,557,2635,1228,89,2372,2314,64,0,1256,1822,690,2782,November,2019,
Mid-East,322,197,125,43,183,85,11,199,120,3,0,82,121,43,190,November,2019,
Midlands,97,45,52,20,53,24,0,60,12,25,0,25,32,18,55,November,2019,
Mid-West,369,222,147,49,214,98,8,137,190,42,0,76,99,53,140,November,2019,
North-East,141,85,56,24,75,32,10,84,57,0,0,20,23,17,33,November,2019,
North-West,67,49,18,11,39,16,1,22,30,11,4,6,8,4,17,November,2019,
South-East,238,170,68,44,120,65,9,59,169,0,10,15,21,9,31,November,2019,
South-West,592,361,231,81,351,139,21,338,254,0,0,119,168,70,289,November,2019,
West,361,208,153,53,197,95,16,223,136,0,2,86,128,44,215,November,2019,
Dublin,4509,2636,1873,557,2635,1228,89,2372,2314,64,0,1256,1822,690,2782,December,2019,
Mid-East,322,197,125,43,183,85,11,199,120,3,0,82,121,43,190,December,2019,
Midlands,97,45,52,20,53,24,0,60,12,25,0,25,32,18,55,December,2019,
Mid-West,369,222,147,49,214,98,8,137,190,42,0,76,99,53,140,December,2019,
North-East,141,85,56,24,75,32,10,84,57,0,0,20,23,17,33,December,2019,
North-West,67,49,18,11,39,16,1,22,30,11,4,6,8,4,17,December,2019,
South-East,238,170,68,44,120,65,9,59,169,0,10,15,21,9,31,December,2019,
South-West,592,361,231,81,351,139,21,338,254,0,0,119,168,70,289,December,2019,
West,361,208,153,53,197,95,16,223,136,0,2,86,128,44,215,December,2019,
Dublin,4600,2773,1827,577,2687,1250,86,2349,2278,62,0,1201,1735,667,2678,January,2020,
Mid-East,301,186,115,40,160,90,11,183,114,4,0,68,98,38,156,January,2020,
Midlands,109,58,51,22,58,28,1,73,12,24,0,25,34,16,56,January,2020,
Mid-West,341,208,133,48,189,97,7,121,182,38,0,85,106,64,147,January,2020,
North-East,128,77,51,18,63,36,11,70,56,2,0,22,25,19,32,January,2020,
North-West,67,45,22,14,34,18,1,19,31,11,6,9,11,7,21,January,2020,
South-East,222,160,62,35,122,56,9,58,162,0,2,11,14,8,21,January,2020,
South-West,578,358,220,73,342,138,25,328,254,0,0,111,159,63,264,January,2020,
West,351,202,149,42,195,101,13,205,144,0,2,79,115,43,199,January,2020,
Dublin,4515,2773,1742,524,2662,1241,88,2442,2102,54,0,1103,1609,597,2491,March,2020,
Mid-East,317,191,126,44,174,88,11,192,121,4,0,81,114,48,184,March,2020,
Midlands,97,53,44,20,51,25,1,63,12,22,0,17,23,11,38,March,2020,
Mid-West,331,199,132,51,178,95,7,115,184,32,0,78,95,61,133,March,2020,
North-East,112,64,48,18,55,27,12,64,48,0,0,16,21,11,28,March,2020,
North-West,69,50,19,11,38,19,1,27,32,10,0,7,10,4,14,March,2020,
South-East,218,162,56,33,121,55,9,51,164,0,3,12,14,10,18,March,2020,
South-West,550,345,205,76,320,128,26,328,223,0,0,94,136,52,229,March,2020,
West,343,190,153,51,186,91,15,212,131,0,0,80,116,44,220,March,2020,
Dublin,4266,2652,1614,475,2514,1190,87,2335,1902,42,0,974,1413,535,2232,April,2020,
Mid-East,335,211,124,46,183,96,10,208,123,4,0,72,104,40,168,April,2020,
Midlands,98,58,40,25,50,21,2,67,12,19,0,17,24,10,47,April,2020,
Mid-West,330,211,119,40,182,100,8,112,179,36,3,82,103,61,144,April,2020,
North-East,110,64,46,18,54,25,13,61,49,0,0,14,18,10,30,April,2020,
North-West,71,51,20,12,39,19,1,29,31,11,0,3,3,3,12,April,2020,
South-East,218,160,58,33,117,60,8,57,160,0,1,12,15,9,19,April,2020,
South-West,511,324,187,53,308,128,22,338,174,0,0,84,119,49,207,April,2020,
West,323,184,139,47,174,89,13,198,125,0,0,81,116,46,214,April,2020,
Dublin,4164,2641,1523,450,2434,1198,82,2336,1856,39,0,893,1309,477,2065,May,2020,
Mid-East,318,207,111,42,170,98,8,201,113,4,0,63,92,34,138,May,2020,
Midlands,92,57,35,14,54,21,3,65,11,16,0,17,24,10,43,May,2020,
Mid-West,300,195,105,40,161,91,8,98,170,32,0,55,69,41,89,May,2020,
North-East,119,75,44,17,65,25,12,32,51,36,0,17,21,13,24,May,2020,
North-West,70,53,17,11,39,19,1,28,32,10,0,5,7,3,12,May,2020,
South-East,201,146,55,34,106,55,6,51,150,0,0,11,14,8,14,May,2020,
South-West,511,320,191,55,307,131,18,337,175,0,0,84,121,47,213,May,2020,
West,314,174,140,46,171,87,10,169,143,0,2,72,107,37,189,May,2020,
Dublin,4173,2640,1533,481,2439,1197,56,2299,1889,39,0,871,1276,466,1979,June,2020,
Mid-East,309,197,112,41,166,94,8,210,105,4,0,61,86,36,146,June,2020,
Midlands,97,56,41,15,61,20,1,71,10,16,0,17,24,10,42,June,2020,
Mid-West,291,193,98,38,161,84,8,90,169,32,0,46,59,33,78,June,2020,
North-East,119,76,43,18,65,24,12,32,52,35,0,16,21,11,34,June,2020,
North-West,69,53,16,12,38,18,1,28,30,10,1,5,7,3,12,June,2020,
South-East,189,141,48,27,102,54,6,49,140,0,0,10,12,8,13,June,2020,
South-West,502,334,168,52,312,120,18,312,191,0,0,68,100,36,179,June,2020,
West,297,165,132,47,159,79,12,158,139,0,0,65,97,33,170,June,2020,
